,Star_name,Distance,Mass,Radius,Gravity
1,Sirius,8.6,2.1,1.71,"[7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435]"
2,Canopus,310,15,71,"[7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435]"
3,Alpha Centauri,4.4,1.1,1.2,"[7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435]"
4,Arcturus,37,1.1,26,"[7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435]"
5,Vega,25,2.2,2.7,"[7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435]"
6,Capella,43,2.6,12,"[7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435, 7.052090307757435]"
